layer_index,name,args,input_#,output_#,Param_#,dp_index,pp_index,tp_index,opcode,target,layer_type,input_shape,output_shape,param_shape,kwargs,dtype_size,direction,avg_mem_grp_idx,avg_mem_grp_size,min_comm_grp_id,min_comm_grp_sum,min_comm_grp_last_weight,compute_density_ops
23,layer1_1_conv3,"(layer1_1_relu_1,)",144000,576000,16384,0,0,0,call_module,layer1.1.conv3,Conv2d,"[10, 64, 15, 15]","[10, 256, 15, 15]","{'weight': torch.Size([256, 64, 1, 1])}",{},[4],FWD,1,3211200,0,3210688,40960,36864000.0
24,layer1_1_bn3,"(layer1_1_conv3,)",576000,576000,512,0,0,0,call_module,layer1.1.bn3,BatchNorm2d,"[10, 256, 15, 15]","[10, 256, 15, 15]","{'weight': torch.Size([256]), 'bias': torch.Size([256])}",{},[4],FWD,1,3211200,0,3210688,40960,10370048.0
25,add_1,"(layer1_1_bn3, layer1_0_relu_2)",576000,576000,0,0,0,0,call_function,<built-in function add>,,"[10, 256, 15, 15]","[10, 256, 15, 15]",0,{},[4],FWD,1,3211200,0,3210688,40960,576000.0
26,layer1_1_relu_2,"(add_1,)",576000,576000,0,0,0,0,call_module,layer1.1.relu,ReLU,"[10, 256, 15, 15]","[10, 256, 15, 15]",{},{},[4],FWD,1,3211200,0,3210688,40960,2304000.0
27,layer1_2_conv1,"(layer1_1_relu_2,)",576000,144000,16384,0,0,0,call_module,layer1.2.conv1,Conv2d,"[10, 256, 15, 15]","[10, 64, 15, 15]","{'weight': torch.Size([64, 256, 1, 1])}",{},[4],FWD,1,3211200,0,3210688,40960,36864000.0
28,layer1_2_bn1,"(layer1_2_conv1,)",144000,144000,128,0,0,0,call_module,layer1.2.bn1,BatchNorm2d,"[10, 64, 15, 15]","[10, 64, 15, 15]","{'weight': torch.Size([64]), 'bias': torch.Size([64])}",{},[4],FWD,1,3211200,0,3210688,40960,2592512.0
29,layer1_2_relu,"(layer1_2_bn1,)",144000,144000,0,0,0,0,call_module,layer1.2.relu,ReLU,"[10, 64, 15, 15]","[10, 64, 15, 15]",{},{},[4],FWD,1,3211200,0,3210688,40960,576000.0
30,layer1_2_conv2,"(layer1_2_relu,)",144000,144000,36864,0,0,0,call_module,layer1.2.conv2,Conv2d,"[10, 64, 15, 15]","[10, 64, 15, 15]","{'weight': torch.Size([64, 64, 3, 3])}",{},[4],FWD,1,3211200,0,3210688,40960,82944000.0
31,layer1_2_bn2,"(layer1_2_conv2,)",144000,144000,128,0,0,0,call_module,layer1.2.bn2,BatchNorm2d,"[10, 64, 15, 15]","[10, 64, 15, 15]","{'weight': torch.Size([64]), 'bias': torch.Size([64])}",{},[4],FWD,1,3211200,0,3210688,40960,2592512.0
32,layer1_2_relu_1,"(layer1_2_bn2,)",144000,144000,0,0,0,0,call_module,layer1.2.relu,ReLU,"[10, 64, 15, 15]","[10, 64, 15, 15]",{},{},[4],FWD,1,3211200,0,3210688,40960,576000.0
33,layer1_2_conv3,"(layer1_2_relu_1,)",144000,576000,16384,0,0,0,call_module,layer1.2.conv3,Conv2d,"[10, 64, 15, 15]","[10, 256, 15, 15]","{'weight': torch.Size([256, 64, 1, 1])}",{},[4],FWD,1,3211200,0,3210688,40960,36864000.0
34,layer1_2_bn3,"(layer1_2_conv3,)",576000,576000,512,0,0,0,call_module,layer1.2.bn3,BatchNorm2d,"[10, 256, 15, 15]","[10, 256, 15, 15]","{'weight': torch.Size([256]), 'bias': torch.Size([256])}",{},[4],FWD,1,3211200,0,3210688,40960,10370048.0
35,add_2,"(layer1_2_bn3, layer1_1_relu_2)",576000,576000,0,0,0,0,call_function,<built-in function add>,,"[10, 256, 15, 15]","[10, 256, 15, 15]",0,{},[4],FWD,1,3211200,0,3210688,40960,576000.0
36,layer1_2_relu_2,"(add_2,)",576000,576000,0,0,0,0,call_module,layer1.2.relu,ReLU,"[10, 256, 15, 15]","[10, 256, 15, 15]",{},{},[4],FWD,1,3211200,0,3210688,40960,2304000.0
