layer_index,name,args,input_#,output_#,Param_#,dp_index,pp_index,tp_index,opcode,target,layer_type,input_shape,output_shape,param_shape,kwargs,dtype_size,direction,avg_mem_grp_idx,avg_mem_grp_size,min_comm_grp_id,min_comm_grp_sum,min_comm_grp_last_weight,compute_density_ops
99,add_8,"(layer3_1_bn3, layer3_0_relu_2)",163840,163840,0,0,0,0,call_function,<built-in function add>,,"[10, 1024, 4, 4]","[10, 1024, 4, 4]",0,{},[4],FWD,2,3351552,1,5848064,20480,163840.0
100,layer3_1_relu_2,"(add_8,)",163840,163840,0,0,0,0,call_module,layer3.1.relu,ReLU,"[10, 1024, 4, 4]","[10, 1024, 4, 4]",{},{},[4],FWD,2,3351552,1,5848064,20480,655360.0
101,layer3_2_conv1,"(layer3_1_relu_2,)",163840,40960,262144,0,0,0,call_module,layer3.2.conv1,Conv2d,"[10, 1024, 4, 4]","[10, 256, 4, 4]","{'weight': torch.Size([256, 1024, 1, 1])}",{},[4],FWD,2,3351552,1,5848064,20480,41943040.0
102,layer3_2_bn1,"(layer3_2_conv1,)",40960,40960,512,0,0,0,call_module,layer3.2.bn1,BatchNorm2d,"[10, 256, 4, 4]","[10, 256, 4, 4]","{'weight': torch.Size([256]), 'bias': torch.Size([256])}",{},[4],FWD,2,3351552,1,5848064,20480,739328.0
103,layer3_2_relu,"(layer3_2_bn1,)",40960,40960,0,0,0,0,call_module,layer3.2.relu,ReLU,"[10, 256, 4, 4]","[10, 256, 4, 4]",{},{},[4],FWD,2,3351552,1,5848064,20480,163840.0
104,layer3_2_conv2,"(layer3_2_relu,)",40960,40960,589824,0,0,0,call_module,layer3.2.conv2,Conv2d,"[10, 256, 4, 4]","[10, 256, 4, 4]","{'weight': torch.Size([256, 256, 3, 3])}",{},[4],FWD,2,3351552,1,5848064,20480,94371840.0
105,layer3_2_bn2,"(layer3_2_conv2,)",40960,40960,512,0,0,0,call_module,layer3.2.bn2,BatchNorm2d,"[10, 256, 4, 4]","[10, 256, 4, 4]","{'weight': torch.Size([256]), 'bias': torch.Size([256])}",{},[4],FWD,2,3351552,1,5848064,20480,739328.0
106,layer3_2_relu_1,"(layer3_2_bn2,)",40960,40960,0,0,0,0,call_module,layer3.2.relu,ReLU,"[10, 256, 4, 4]","[10, 256, 4, 4]",{},{},[4],FWD,2,3351552,1,5848064,20480,163840.0
107,layer3_2_conv3,"(layer3_2_relu_1,)",40960,163840,262144,0,0,0,call_module,layer3.2.conv3,Conv2d,"[10, 256, 4, 4]","[10, 1024, 4, 4]","{'weight': torch.Size([1024, 256, 1, 1])}",{},[4],FWD,2,3351552,1,5848064,20480,41943040.0
108,layer3_2_bn3,"(layer3_2_conv3,)",163840,163840,2048,0,0,0,call_module,layer3.2.bn3,BatchNorm2d,"[10, 1024, 4, 4]","[10, 1024, 4, 4]","{'weight': torch.Size([1024]), 'bias': torch.Size([1024])}",{},[4],FWD,2,3351552,1,5848064,20480,2957312.0
109,add_9,"(layer3_2_bn3, layer3_1_relu_2)",163840,163840,0,0,0,0,call_function,<built-in function add>,,"[10, 1024, 4, 4]","[10, 1024, 4, 4]",0,{},[4],FWD,2,3351552,1,5848064,20480,163840.0
110,layer3_2_relu_2,"(add_9,)",163840,163840,0,0,0,0,call_module,layer3.2.relu,ReLU,"[10, 1024, 4, 4]","[10, 1024, 4, 4]",{},{},[4],FWD,2,3351552,1,5848064,20480,655360.0
111,layer3_3_conv1,"(layer3_2_relu_2,)",163840,40960,262144,0,0,0,call_module,layer3.3.conv1,Conv2d,"[10, 1024, 4, 4]","[10, 256, 4, 4]","{'weight': torch.Size([256, 1024, 1, 1])}",{},[4],FWD,2,3351552,1,5848064,20480,41943040.0
112,layer3_3_bn1,"(layer3_3_conv1,)",40960,40960,512,0,0,0,call_module,layer3.3.bn1,BatchNorm2d,"[10, 256, 4, 4]","[10, 256, 4, 4]","{'weight': torch.Size([256]), 'bias': torch.Size([256])}",{},[4],FWD,2,3351552,1,5848064,20480,739328.0
113,layer3_3_relu,"(layer3_3_bn1,)",40960,40960,0,0,0,0,call_module,layer3.3.relu,ReLU,"[10, 256, 4, 4]","[10, 256, 4, 4]",{},{},[4],FWD,2,3351552,1,5848064,20480,163840.0
114,layer3_3_conv2,"(layer3_3_relu,)",40960,40960,589824,0,0,0,call_module,layer3.3.conv2,Conv2d,"[10, 256, 4, 4]","[10, 256, 4, 4]","{'weight': torch.Size([256, 256, 3, 3])}",{},[4],FWD,2,3351552,1,5848064,20480,94371840.0
115,layer3_3_bn2,"(layer3_3_conv2,)",40960,40960,512,0,0,0,call_module,layer3.3.bn2,BatchNorm2d,"[10, 256, 4, 4]","[10, 256, 4, 4]","{'weight': torch.Size([256]), 'bias': torch.Size([256])}",{},[4],FWD,2,3351552,1,5848064,20480,739328.0
116,layer3_3_relu_1,"(layer3_3_bn2,)",40960,40960,0,0,0,0,call_module,layer3.3.relu,ReLU,"[10, 256, 4, 4]","[10, 256, 4, 4]",{},{},[4],FWD,2,3351552,1,5848064,20480,163840.0
117,layer3_3_conv3,"(layer3_3_relu_1,)",40960,163840,262144,0,0,0,call_module,layer3.3.conv3,Conv2d,"[10, 256, 4, 4]","[10, 1024, 4, 4]","{'weight': torch.Size([1024, 256, 1, 1])}",{},[4],FWD,2,3351552,1,5848064,20480,41943040.0
118,layer3_3_bn3,"(layer3_3_conv3,)",163840,163840,2048,0,0,0,call_module,layer3.3.bn3,BatchNorm2d,"[10, 1024, 4, 4]","[10, 1024, 4, 4]","{'weight': torch.Size([1024]), 'bias': torch.Size([1024])}",{},[4],FWD,2,3351552,1,5848064,20480,2957312.0
119,add_10,"(layer3_3_bn3, layer3_2_relu_2)",163840,163840,0,0,0,0,call_function,<built-in function add>,,"[10, 1024, 4, 4]","[10, 1024, 4, 4]",0,{},[4],FWD,2,3351552,1,5848064,20480,163840.0
120,layer3_3_relu_2,"(add_10,)",163840,163840,0,0,0,0,call_module,layer3.3.relu,ReLU,"[10, 1024, 4, 4]","[10, 1024, 4, 4]",{},{},[4],FWD,2,3351552,1,5848064,20480,655360.0
121,layer3_4_conv1,"(layer3_3_relu_2,)",163840,40960,262144,0,0,0,call_module,layer3.4.conv1,Conv2d,"[10, 1024, 4, 4]","[10, 256, 4, 4]","{'weight': torch.Size([256, 1024, 1, 1])}",{},[4],FWD,2,3351552,1,5848064,20480,41943040.0
122,layer3_4_bn1,"(layer3_4_conv1,)",40960,40960,512,0,0,0,call_module,layer3.4.bn1,BatchNorm2d,"[10, 256, 4, 4]","[10, 256, 4, 4]","{'weight': torch.Size([256]), 'bias': torch.Size([256])}",{},[4],FWD,2,3351552,1,5848064,20480,739328.0
123,layer3_4_relu,"(layer3_4_bn1,)",40960,40960,0,0,0,0,call_module,layer3.4.relu,ReLU,"[10, 256, 4, 4]","[10, 256, 4, 4]",{},{},[4],FWD,2,3351552,1,5848064,20480,163840.0
124,layer3_4_conv2,"(layer3_4_relu,)",40960,40960,589824,0,0,0,call_module,layer3.4.conv2,Conv2d,"[10, 256, 4, 4]","[10, 256, 4, 4]","{'weight': torch.Size([256, 256, 3, 3])}",{},[4],FWD,3,2497024,1,5848064,20480,94371840.0
125,layer3_4_bn2,"(layer3_4_conv2,)",40960,40960,512,0,0,0,call_module,layer3.4.bn2,BatchNorm2d,"[10, 256, 4, 4]","[10, 256, 4, 4]","{'weight': torch.Size([256]), 'bias': torch.Size([256])}",{},[4],FWD,3,2497024,1,5848064,20480,739328.0
126,layer3_4_relu_1,"(layer3_4_bn2,)",40960,40960,0,0,0,0,call_module,layer3.4.relu,ReLU,"[10, 256, 4, 4]","[10, 256, 4, 4]",{},{},[4],FWD,3,2497024,1,5848064,20480,163840.0
127,layer3_4_conv3,"(layer3_4_relu_1,)",40960,163840,262144,0,0,0,call_module,layer3.4.conv3,Conv2d,"[10, 256, 4, 4]","[10, 1024, 4, 4]","{'weight': torch.Size([1024, 256, 1, 1])}",{},[4],FWD,3,2497024,1,5848064,20480,41943040.0
128,layer3_4_bn3,"(layer3_4_conv3,)",163840,163840,2048,0,0,0,call_module,layer3.4.bn3,BatchNorm2d,"[10, 1024, 4, 4]","[10, 1024, 4, 4]","{'weight': torch.Size([1024]), 'bias': torch.Size([1024])}",{},[4],FWD,3,2497024,1,5848064,20480,2957312.0
129,add_11,"(layer3_4_bn3, layer3_3_relu_2)",163840,163840,0,0,0,0,call_function,<built-in function add>,,"[10, 1024, 4, 4]","[10, 1024, 4, 4]",0,{},[4],FWD,3,2497024,1,5848064,20480,163840.0
130,layer3_4_relu_2,"(add_11,)",163840,163840,0,0,0,0,call_module,layer3.4.relu,ReLU,"[10, 1024, 4, 4]","[10, 1024, 4, 4]",{},{},[4],FWD,3,2497024,1,5848064,20480,655360.0
131,layer3_5_conv1,"(layer3_4_relu_2,)",163840,40960,262144,0,0,0,call_module,layer3.5.conv1,Conv2d,"[10, 1024, 4, 4]","[10, 256, 4, 4]","{'weight': torch.Size([256, 1024, 1, 1])}",{},[4],FWD,3,2497024,1,5848064,20480,41943040.0
132,layer3_5_bn1,"(layer3_5_conv1,)",40960,40960,512,0,0,0,call_module,layer3.5.bn1,BatchNorm2d,"[10, 256, 4, 4]","[10, 256, 4, 4]","{'weight': torch.Size([256]), 'bias': torch.Size([256])}",{},[4],FWD,3,2497024,1,5848064,20480,739328.0
133,layer3_5_relu,"(layer3_5_bn1,)",40960,40960,0,0,0,0,call_module,layer3.5.relu,ReLU,"[10, 256, 4, 4]","[10, 256, 4, 4]",{},{},[4],FWD,3,2497024,1,5848064,20480,163840.0
134,layer3_5_conv2,"(layer3_5_relu,)",40960,40960,589824,0,0,0,call_module,layer3.5.conv2,Conv2d,"[10, 256, 4, 4]","[10, 256, 4, 4]","{'weight': torch.Size([256, 256, 3, 3])}",{},[4],FWD,3,2497024,1,5848064,20480,94371840.0
135,layer3_5_bn2,"(layer3_5_conv2,)",40960,40960,512,0,0,0,call_module,layer3.5.bn2,BatchNorm2d,"[10, 256, 4, 4]","[10, 256, 4, 4]","{'weight': torch.Size([256]), 'bias': torch.Size([256])}",{},[4],FWD,3,2497024,1,5848064,20480,739328.0
136,layer3_5_relu_1,"(layer3_5_bn2,)",40960,40960,0,0,0,0,call_module,layer3.5.relu,ReLU,"[10, 256, 4, 4]","[10, 256, 4, 4]",{},{},[4],FWD,3,2497024,1,5848064,20480,163840.0
137,layer3_5_conv3,"(layer3_5_relu_1,)",40960,163840,262144,0,0,0,call_module,layer3.5.conv3,Conv2d,"[10, 256, 4, 4]","[10, 1024, 4, 4]","{'weight': torch.Size([1024, 256, 1, 1])}",{},[4],FWD,3,2497024,1,5848064,20480,41943040.0
138,layer3_5_bn3,"(layer3_5_conv3,)",163840,163840,2048,0,0,0,call_module,layer3.5.bn3,BatchNorm2d,"[10, 1024, 4, 4]","[10, 1024, 4, 4]","{'weight': torch.Size([1024]), 'bias': torch.Size([1024])}",{},[4],FWD,3,2497024,1,5848064,20480,2957312.0
139,add_12,"(layer3_5_bn3, layer3_4_relu_2)",163840,163840,0,0,0,0,call_function,<built-in function add>,,"[10, 1024, 4, 4]","[10, 1024, 4, 4]",0,{},[4],FWD,3,2497024,1,5848064,20480,163840.0
140,layer3_5_relu_2,"(add_12,)",163840,163840,0,0,0,0,call_module,layer3.5.relu,ReLU,"[10, 1024, 4, 4]","[10, 1024, 4, 4]",{},{},[4],FWD,3,2497024,1,5848064,20480,655360.0
141,layer4_0_conv1,"(layer3_5_relu_2,)",163840,20480,524288,0,0,0,call_module,layer4.0.conv1,Conv2d,"[10, 1024, 4, 4]","[10, 512, 2, 2]","{'weight': torch.Size([512, 1024, 1, 1])}",{},[4],FWD,3,2497024,1,5848064,20480,20971520.0
142,layer4_0_bn1,"(layer4_0_conv1,)",20480,20480,1024,0,0,0,call_module,layer4.0.bn1,BatchNorm2d,"[10, 512, 2, 2]","[10, 512, 2, 2]","{'weight': torch.Size([512]), 'bias': torch.Size([512])}",{},[4],FWD,3,2497024,2,1024,20480,372736.0
143,layer4_0_relu,"(layer4_0_bn1,)",20480,20480,0,0,0,0,call_module,layer4.0.relu,ReLU,"[10, 512, 2, 2]","[10, 512, 2, 2]",{},{},[4],FWD,3,2497024,3,0,20480,81920.0
144,layer4_0_conv2,"(layer4_0_relu,)",20480,20480,2359296,0,0,0,call_module,layer4.0.conv2,Conv2d,"[10, 512, 2, 2]","[10, 512, 2, 2]","{'weight': torch.Size([512, 512, 3, 3])}",{},[4],FWD,4,3412992,4,2359296,20480,94371840.0
145,layer4_0_bn2,"(layer4_0_conv2,)",20480,20480,1024,0,0,0,call_module,layer4.0.bn2,BatchNorm2d,"[10, 512, 2, 2]","[10, 512, 2, 2]","{'weight': torch.Size([512]), 'bias': torch.Size([512])}",{},[4],FWD,4,3412992,5,4203520,20480,372736.0
146,layer4_0_relu_1,"(layer4_0_bn2,)",20480,20480,0,0,0,0,call_module,layer4.0.relu,ReLU,"[10, 512, 2, 2]","[10, 512, 2, 2]",{},{},[4],FWD,4,3412992,5,4203520,20480,81920.0
147,layer4_0_conv3,"(layer4_0_relu_1,)",20480,81920,1048576,0,0,0,call_module,layer4.0.conv3,Conv2d,"[10, 512, 2, 2]","[10, 2048, 2, 2]","{'weight': torch.Size([2048, 512, 1, 1])}",{},[4],FWD,4,3412992,5,4203520,20480,41943040.0
148,layer4_0_bn3,"(layer4_0_conv3,)",81920,81920,4096,0,0,0,call_module,layer4.0.bn3,BatchNorm2d,"[10, 2048, 2, 2]","[10, 2048, 2, 2]","{'weight': torch.Size([2048]), 'bias': torch.Size([2048])}",{},[4],FWD,4,3412992,5,4203520,20480,1490944.0
149,layer4_0_downsample_0,"(layer3_5_relu_2,)",163840,81920,2097152,0,0,0,call_module,layer4.0.downsample.0,Conv2d,"[10, 1024, 4, 4]","[10, 2048, 2, 2]","{'weight': torch.Size([2048, 1024, 1, 1])}",{},[4],FWD,5,3150848,5,4203520,20480,83886080.0
150,layer4_0_downsample_1,"(layer4_0_downsample_0,)",81920,81920,4096,0,0,0,call_module,layer4.0.downsample.1,BatchNorm2d,"[10, 2048, 2, 2]","[10, 2048, 2, 2]","{'weight': torch.Size([2048]), 'bias': torch.Size([2048])}",{},[4],FWD,5,3150848,5,4203520,20480,1490944.0
151,add_13,"(layer4_0_bn3, layer4_0_downsample_1)",81920,81920,0,0,0,0,call_function,<built-in function add>,,"[10, 2048, 2, 2]","[10, 2048, 2, 2]",0,{},[4],FWD,5,3150848,5,4203520,20480,81920.0
152,layer4_0_relu_2,"(add_13,)",81920,81920,0,0,0,0,call_module,layer4.0.relu,ReLU,"[10, 2048, 2, 2]","[10, 2048, 2, 2]",{},{},[4],FWD,5,3150848,5,4203520,20480,327680.0
153,layer4_1_conv1,"(layer4_0_relu_2,)",81920,20480,1048576,0,0,0,call_module,layer4.1.conv1,Conv2d,"[10, 2048, 2, 2]","[10, 512, 2, 2]","{'weight': torch.Size([512, 2048, 1, 1])}",{},[4],FWD,5,3150848,5,4203520,20480,41943040.0
154,layer4_1_bn1,"(layer4_1_conv1,)",20480,20480,1024,0,0,0,call_module,layer4.1.bn1,BatchNorm2d,"[10, 512, 2, 2]","[10, 512, 2, 2]","{'weight': torch.Size([512]), 'bias': torch.Size([512])}",{},[4],FWD,5,3150848,6,2360320,20480,372736.0
155,layer4_1_relu,"(layer4_1_bn1,)",20480,20480,0,0,0,0,call_module,layer4.1.relu,ReLU,"[10, 512, 2, 2]","[10, 512, 2, 2]",{},{},[4],FWD,5,3150848,6,2360320,20480,81920.0
156,layer4_1_conv2,"(layer4_1_relu,)",20480,20480,2359296,0,0,0,call_module,layer4.1.conv2,Conv2d,"[10, 512, 2, 2]","[10, 512, 2, 2]","{'weight': torch.Size([512, 512, 3, 3])}",{},[4],FWD,6,3412992,6,2360320,20480,94371840.0
157,layer4_1_bn2,"(layer4_1_conv2,)",20480,20480,1024,0,0,0,call_module,layer4.1.bn2,BatchNorm2d,"[10, 512, 2, 2]","[10, 512, 2, 2]","{'weight': torch.Size([512]), 'bias': torch.Size([512])}",{},[4],FWD,6,3412992,7,5536778,100,372736.0
158,layer4_1_relu_1,"(layer4_1_bn2,)",20480,20480,0,0,0,0,call_module,layer4.1.relu,ReLU,"[10, 512, 2, 2]","[10, 512, 2, 2]",{},{},[4],FWD,6,3412992,7,5536778,100,81920.0
159,layer4_1_conv3,"(layer4_1_relu_1,)",20480,81920,1048576,0,0,0,call_module,layer4.1.conv3,Conv2d,"[10, 512, 2, 2]","[10, 2048, 2, 2]","{'weight': torch.Size([2048, 512, 1, 1])}",{},[4],FWD,6,3412992,7,5536778,100,41943040.0
160,layer4_1_bn3,"(layer4_1_conv3,)",81920,81920,4096,0,0,0,call_module,layer4.1.bn3,BatchNorm2d,"[10, 2048, 2, 2]","[10, 2048, 2, 2]","{'weight': torch.Size([2048]), 'bias': torch.Size([2048])}",{},[4],FWD,6,3412992,7,5536778,100,1490944.0
161,add_14,"(layer4_1_bn3, layer4_0_relu_2)",81920,81920,0,0,0,0,call_function,<built-in function add>,,"[10, 2048, 2, 2]","[10, 2048, 2, 2]",0,{},[4],FWD,6,3412992,7,5536778,100,81920.0
162,layer4_1_relu_2,"(add_14,)",81920,81920,0,0,0,0,call_module,layer4.1.relu,ReLU,"[10, 2048, 2, 2]","[10, 2048, 2, 2]",{},{},[4],FWD,6,3412992,7,5536778,100,327680.0
163,layer4_2_conv1,"(layer4_1_relu_2,)",81920,20480,1048576,0,0,0,call_module,layer4.2.conv1,Conv2d,"[10, 2048, 2, 2]","[10, 512, 2, 2]","{'weight': torch.Size([512, 2048, 1, 1])}",{},[4],FWD,7,3409920,7,5536778,100,41943040.0
164,layer4_2_bn1,"(layer4_2_conv1,)",20480,20480,1024,0,0,0,call_module,layer4.2.bn1,BatchNorm2d,"[10, 512, 2, 2]","[10, 512, 2, 2]","{'weight': torch.Size([512]), 'bias': torch.Size([512])}",{},[4],FWD,7,3409920,7,5536778,100,372736.0
165,layer4_2_relu,"(layer4_2_bn1,)",20480,20480,0,0,0,0,call_module,layer4.2.relu,ReLU,"[10, 512, 2, 2]","[10, 512, 2, 2]",{},{},[4],FWD,7,3409920,7,5536778,100,81920.0
166,layer4_2_conv2,"(layer4_2_relu,)",20480,20480,2359296,0,0,0,call_module,layer4.2.conv2,Conv2d,"[10, 512, 2, 2]","[10, 512, 2, 2]","{'weight': torch.Size([512, 512, 3, 3])}",{},[4],FWD,7,3409920,7,5536778,100,94371840.0
167,layer4_2_bn2,"(layer4_2_conv2,)",20480,20480,1024,0,0,0,call_module,layer4.2.bn2,BatchNorm2d,"[10, 512, 2, 2]","[10, 512, 2, 2]","{'weight': torch.Size([512]), 'bias': torch.Size([512])}",{},[4],FWD,7,3409920,7,5536778,100,372736.0
168,layer4_2_relu_1,"(layer4_2_bn2,)",20480,20480,0,0,0,0,call_module,layer4.2.relu,ReLU,"[10, 512, 2, 2]","[10, 512, 2, 2]",{},{},[4],FWD,7,3409920,7,5536778,100,81920.0
169,layer4_2_conv3,"(layer4_2_relu_1,)",20480,81920,1048576,0,0,0,call_module,layer4.2.conv3,Conv2d,"[10, 512, 2, 2]","[10, 2048, 2, 2]","{'weight': torch.Size([2048, 512, 1, 1])}",{},[4],FWD,8,1073162,7,5536778,100,41943040.0
170,layer4_2_bn3,"(layer4_2_conv3,)",81920,81920,4096,0,0,0,call_module,layer4.2.bn3,BatchNorm2d,"[10, 2048, 2, 2]","[10, 2048, 2, 2]","{'weight': torch.Size([2048]), 'bias': torch.Size([2048])}",{},[4],FWD,8,1073162,7,5536778,100,1490944.0
171,add_15,"(layer4_2_bn3, layer4_1_relu_2)",81920,81920,0,0,0,0,call_function,<built-in function add>,,"[10, 2048, 2, 2]","[10, 2048, 2, 2]",0,{},[4],FWD,8,1073162,7,5536778,100,81920.0
172,layer4_2_relu_2,"(add_15,)",81920,81920,0,0,0,0,call_module,layer4.2.relu,ReLU,"[10, 2048, 2, 2]","[10, 2048, 2, 2]",{},{},[4],FWD,8,1073162,7,5536778,100,327680.0
173,avgpool,"(layer4_2_relu_2,)",81920,20480,0,0,0,0,call_module,avgpool,AvgPool2d,"[10, 2048, 2, 2]","[10, 2048, 1, 1]",{},{},[4],FWD,8,1073162,7,5536778,100,163840.0
174,size,"(avgpool, 0)",20480,20480,0,0,0,0,call_method,size,,"[10, 2048, 1, 1]","[10, 2048, 1, 1]",0,{},[4],FWD,8,1073162,7,5536778,100,20480.0
175,view,"(avgpool, size, -1)",20480,20480,0,0,0,0,call_method,view,,"[10, 2048, 1, 1]","[10, 2048, 1, 1]",0,{},[4],FWD,8,1073162,7,5536778,100,20480.0
176,fc,"(view,)",20480,100,20490,0,0,0,call_module,fc,Linear,"[10, 2048]","[10, 10]","{'weight': torch.Size([10, 2048]), 'bias': torch.Size([10])}",{},[4],FWD,8,1073162,7,5536778,100,87968803.08922373
177,output,"(fc,)",100,100,0,0,0,0,output,output,,"[10, 10]","[10, 10]",0,{},[4],FWD,8,1073162,7,5536778,100,100.0
