global_index,avg_mem_grp_idx,layer_index,name,args,dp_args,input_#,output_#,Param_#,dp_index,pp_index,tp_index,opcode,target,layer_type,input_shape,output_shape,param_shape,kwargs,dtype_size,direction,avg_mem_grp_size,compute_density_ops
22,5,154,layer4_1_relu_0_0_bkwd,"('layer4_1_conv2_0_0_bkwd',)",[],20480,20480,0,0,0,0,call_module,layer4.1.relu,ReLU,"[10, 512, 2, 2]","[10, 512, 2, 2]",{},{},[4],BKWD,3150848,81920.0
23,5,153,layer4_1_bn1_0_0_bkwd,"('layer4_1_relu_0_0_bkwd',)",[],20480,20480,1024,0,0,0,call_module,layer4.1.bn1,BatchNorm2d,"[10, 512, 2, 2]","[10, 512, 2, 2]","{'weight': torch.Size([512]), 'bias': torch.Size([512])}",{},[4],BKWD,3150848,745472.0
24,5,152,layer4_1_conv1_0_0_bkwd,"('layer4_1_bn1_0_0_bkwd',)",[],20480,81920,1048576,0,0,0,call_module,layer4.1.conv1,Conv2d,"[10, 512, 2, 2]","[10, 2048, 2, 2]","{'weight': torch.Size([512, 2048, 1, 1])}",{},[4],BKWD,3150848,83886080.0
25,5,151,layer4_0_relu_2_0_0_bkwd,"('layer4_1_conv1_0_0_bkwd', 'add_14_0_0_bkwd')",[],81920,81920,0,0,0,0,call_module,layer4.0.relu,ReLU,"[10, 2048, 2, 2]","[10, 2048, 2, 2]",{},{},[4],BKWD,3150848,327680.0
26,5,150,add_13_0_0_bkwd,"('layer4_0_relu_2_0_0_bkwd',)",[],81920,81920,0,0,0,0,call_function,<built-in function add>,,"[10, 2048, 2, 2]","[10, 2048, 2, 2]",0,{},[4],BKWD,3150848,81920.0
27,5,149,layer4_0_downsample_1_0_0_bkwd,"('add_13_0_0_bkwd',)",[],81920,81920,4096,0,0,0,call_module,layer4.0.downsample.1,BatchNorm2d,"[10, 2048, 2, 2]","[10, 2048, 2, 2]","{'weight': torch.Size([2048]), 'bias': torch.Size([2048])}",{},[4],BKWD,3150848,2981888.0
28,5,148,layer4_0_downsample_0_0_0_bkwd,"('layer4_0_downsample_1_0_0_bkwd',)",[],81920,163840,2097152,0,0,0,call_module,layer4.0.downsample.0,Conv2d,"[10, 2048, 2, 2]","[10, 1024, 4, 4]","{'weight': torch.Size([2048, 1024, 1, 1])}",{},[4],BKWD,3150848,167772160.0
29,4,147,layer4_0_bn3_0_0_bkwd,"('add_13_0_0_bkwd',)",[],81920,81920,4096,0,0,0,call_module,layer4.0.bn3,BatchNorm2d,"[10, 2048, 2, 2]","[10, 2048, 2, 2]","{'weight': torch.Size([2048]), 'bias': torch.Size([2048])}",{},[4],BKWD,3412992,2981888.0
30,4,146,layer4_0_conv3_0_0_bkwd,"('layer4_0_bn3_0_0_bkwd',)",[],81920,20480,1048576,0,0,0,call_module,layer4.0.conv3,Conv2d,"[10, 2048, 2, 2]","[10, 512, 2, 2]","{'weight': torch.Size([2048, 512, 1, 1])}",{},[4],BKWD,3412992,83886080.0
31,4,145,layer4_0_relu_1_0_0_bkwd,"('layer4_0_conv3_0_0_bkwd',)",[],20480,20480,0,0,0,0,call_module,layer4.0.relu,ReLU,"[10, 512, 2, 2]","[10, 512, 2, 2]",{},{},[4],BKWD,3412992,81920.0
32,4,144,layer4_0_bn2_0_0_bkwd,"('layer4_0_relu_1_0_0_bkwd',)",[],20480,20480,1024,0,0,0,call_module,layer4.0.bn2,BatchNorm2d,"[10, 512, 2, 2]","[10, 512, 2, 2]","{'weight': torch.Size([512]), 'bias': torch.Size([512])}",{},[4],BKWD,3412992,745472.0
33,4,143,layer4_0_conv2_0_0_bkwd,"('layer4_0_bn2_0_0_bkwd',)",[],20480,20480,2359296,0,0,0,call_module,layer4.0.conv2,Conv2d,"[10, 512, 2, 2]","[10, 512, 2, 2]","{'weight': torch.Size([512, 512, 3, 3])}",{},[4],BKWD,3412992,188743680.0
34,3,142,layer4_0_relu_0_0_bkwd,"('layer4_0_conv2_0_0_bkwd',)",[],20480,20480,0,0,0,0,call_module,layer4.0.relu,ReLU,"[10, 512, 2, 2]","[10, 512, 2, 2]",{},{},[4],BKWD,2497024,81920.0
35,3,141,layer4_0_bn1_0_0_bkwd,"('layer4_0_relu_0_0_bkwd',)",[],20480,20480,1024,0,0,0,call_module,layer4.0.bn1,BatchNorm2d,"[10, 512, 2, 2]","[10, 512, 2, 2]","{'weight': torch.Size([512]), 'bias': torch.Size([512])}",{},[4],BKWD,2497024,745472.0
36,3,140,layer4_0_conv1_0_0_bkwd,"('layer4_0_bn1_0_0_bkwd',)",[],20480,163840,524288,0,0,0,call_module,layer4.0.conv1,Conv2d,"[10, 512, 2, 2]","[10, 1024, 4, 4]","{'weight': torch.Size([512, 1024, 1, 1])}",{},[4],BKWD,2497024,41943040.0
37,3,139,layer3_5_relu_2_0_0_bkwd,"('layer4_0_conv1_0_0_bkwd', 'layer4_0_downsample_0_0_0_bkwd')",[],163840,163840,0,0,0,0,call_module,layer3.5.relu,ReLU,"[10, 1024, 4, 4]","[10, 1024, 4, 4]",{},{},[4],BKWD,2497024,655360.0
38,3,138,add_12_0_0_bkwd,"('layer3_5_relu_2_0_0_bkwd',)",[],163840,163840,0,0,0,0,call_function,<built-in function add>,,"[10, 1024, 4, 4]","[10, 1024, 4, 4]",0,{},[4],BKWD,2497024,163840.0
39,3,137,layer3_5_bn3_0_0_bkwd,"('add_12_0_0_bkwd',)",[],163840,163840,2048,0,0,0,call_module,layer3.5.bn3,BatchNorm2d,"[10, 1024, 4, 4]","[10, 1024, 4, 4]","{'weight': torch.Size([1024]), 'bias': torch.Size([1024])}",{},[4],BKWD,2497024,5914624.0
40,3,136,layer3_5_conv3_0_0_bkwd,"('layer3_5_bn3_0_0_bkwd',)",[],163840,40960,262144,0,0,0,call_module,layer3.5.conv3,Conv2d,"[10, 1024, 4, 4]","[10, 256, 4, 4]","{'weight': torch.Size([1024, 256, 1, 1])}",{},[4],BKWD,2497024,83886080.0
41,3,135,layer3_5_relu_1_0_0_bkwd,"('layer3_5_conv3_0_0_bkwd',)",[],40960,40960,0,0,0,0,call_module,layer3.5.relu,ReLU,"[10, 256, 4, 4]","[10, 256, 4, 4]",{},{},[4],BKWD,2497024,163840.0
42,3,134,layer3_5_bn2_0_0_bkwd,"('layer3_5_relu_1_0_0_bkwd',)",[],40960,40960,512,0,0,0,call_module,layer3.5.bn2,BatchNorm2d,"[10, 256, 4, 4]","[10, 256, 4, 4]","{'weight': torch.Size([256]), 'bias': torch.Size([256])}",{},[4],BKWD,2497024,1478656.0
43,3,133,layer3_5_conv2_0_0_bkwd,"('layer3_5_bn2_0_0_bkwd',)",[],40960,40960,589824,0,0,0,call_module,layer3.5.conv2,Conv2d,"[10, 256, 4, 4]","[10, 256, 4, 4]","{'weight': torch.Size([256, 256, 3, 3])}",{},[4],BKWD,2497024,188743680.0
44,3,132,layer3_5_relu_0_0_bkwd,"('layer3_5_conv2_0_0_bkwd',)",[],40960,40960,0,0,0,0,call_module,layer3.5.relu,ReLU,"[10, 256, 4, 4]","[10, 256, 4, 4]",{},{},[4],BKWD,2497024,163840.0
45,3,131,layer3_5_bn1_0_0_bkwd,"('layer3_5_relu_0_0_bkwd',)",[],40960,40960,512,0,0,0,call_module,layer3.5.bn1,BatchNorm2d,"[10, 256, 4, 4]","[10, 256, 4, 4]","{'weight': torch.Size([256]), 'bias': torch.Size([256])}",{},[4],BKWD,2497024,1478656.0
